index,Revenue GBP Mil,Gross Margin %,Operating Income GBP Mil,Operating Margin %,Net Income GBP Mil,Earnings Per Share GBP,Dividends GBP,Payout Ratio %,Shares Mil,Book Value Per Share USD,Operating Cash Flow GBP Mil,Cap Spending GBP Mil,Free Cash Flow GBP Mil,Free Cash Flow Per Share USD,Working Capital GBP Mil,Revenue,COGS,Gross Margin,SG&A,R&D,Other,Operating Margin,Net Int Inc & Other,EBT Margin,Tax Rate %,Net Margin %,Asset Turnover (Average),Return on Assets %,Financial Leverage (Average),Return on Equity %,Return on Invested Capital %,Interest Coverage,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Operating Cash Flow Growth % YOY,Free Cash Flow Growth % YOY,Cap Ex as a % of Sales,Free Cash Flow/Sales %,Free Cash Flow/Net Income,Cash & Short-Term Investments,Accounts Receivable,Inventory,Other Current Assets,Total Current Assets,Net PP&E,Intangibles,Other Long-Term Assets,Total Assets,Accounts Payable,Short-Term Debt,Taxes Payable,Accrued Liabilities,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Debt,Other Long-Term Liabilities,Total Liabilities,Total Stockholders' Equity,Total Liabilities & Equity,Current Ratio,Quick Ratio,Financial Leverage,Debt/Equity,Days Sales Outstanding,Days Inventory,Payables Period,Cash Conversion Cycle,Receivables Turnover,Inventory Turnover,Fixed Assets Turnover,Asset Turnover,SYMBOL
TTM,925.0,95.8,386.0,41.7,321.0,0.68,0.23,33.7,474.0,5.51,382.0,-30.0,352.0,,,100.0,4.24,95.76,25.82,28.27,,41.68,0.75,42.42,18.22,34.69,0.5,17.34,1.16,20.38,20.27,,24.35,,,,30.94,,,,,,,,32.61,,,,,,3.21,38.06,1.1,4.02,9.03,0.09,33.61,46.75,2.63,36.31,14.31,100.0,0.44,,1.09,4.5,5.43,11.46,,2.59,14.06,85.94,100.0,4.08,1.14,1.16,,58.72,20.02,75.89,2.85,6.22,18.23,19.35,0.5,NAS:ARMH
2014-12,795.0,95.2,309.0,38.9,255.0,0.54,0.18,48.5,474.0,4.82,342.0,-30.0,311.0,0.82,611.0,100.0,4.75,95.25,28.19,28.19,,38.86,0.94,39.8,19.3,32.12,0.46,14.7,1.2,17.99,17.94,,11.28,17.37,21.12,17.93,101.3,27.53,46.61,24.26,143.7,31.37,44.57,23.09,143.24,29.96,42.16,20.88,8.34,15.26,3.82,39.13,1.22,2.94,9.08,0.15,35.23,47.4,2.36,35.06,15.17,100.0,0.64,,0.26,3.08,10.19,14.17,,2.65,16.81,83.19,100.0,3.35,0.85,1.2,,59.69,27.52,90.28,-3.07,6.11,13.26,20.65,0.46,NAS:ARMH
2013-12,715.0,94.5,154.0,21.5,105.0,0.22,0.15,45.3,471.0,4.71,315.0,-45.0,270.0,0.62,500.0,100.0,5.5,94.5,30.45,28.39,14.18,21.48,1.27,22.75,35.55,14.67,0.46,6.75,1.25,8.33,8.3,814.0,23.87,20.68,19.04,18.77,-26.24,12.8,20.69,24.44,-34.79,6.82,19.18,23.21,-35.65,4.96,16.83,18.97,100.96,105.64,6.34,37.78,2.58,36.19,9.42,0.18,1.82,47.61,2.05,37.16,13.18,100.0,0.43,,1.42,3.9,11.36,17.11,,2.85,19.96,80.04,100.0,2.78,2.67,1.25,,65.15,24.61,59.9,29.86,5.6,14.83,20.51,0.46,NAS:ARMH
2012-12,577.0,94.5,208.0,36.1,161.0,0.35,0.11,32.3,465.0,4.23,157.0,-26.0,131.0,0.46,430.0,100.0,5.53,94.47,29.57,28.83,,36.07,2.24,38.31,27.29,27.86,0.42,11.62,1.22,14.18,14.12,737.67,17.3,23.67,17.33,14.34,39.68,65.85,37.15,17.55,42.66,58.39,34.23,17.64,40.24,54.8,33.52,14.01,-19.04,-27.39,4.44,22.76,0.82,26.34,9.2,0.16,9.58,45.27,2.46,36.17,16.1,100.0,0.4,,0.23,3.74,11.56,15.93,,1.85,17.77,82.23,100.0,2.84,2.23,1.22,,77.23,27.29,83.37,21.15,4.73,13.38,21.27,0.42,NAS:ARMH
2011-12,492.0,94.4,149.0,30.3,113.0,0.25,0.08,35.1,459.0,3.51,194.0,-13.0,181.0,0.65,282.0,100.0,5.63,94.37,30.46,33.62,,30.29,1.62,31.91,28.23,22.9,0.41,9.45,1.22,11.52,11.52,,20.96,18.05,13.32,12.87,39.29,35.46,27.05,12.41,31.02,37.22,20.06,12.7,28.13,34.11,20.73,9.51,9.54,6.64,2.64,36.77,1.61,26.61,9.2,0.19,2.93,38.94,1.4,42.7,16.97,100.0,0.67,,2.05,6.53,7.98,17.24,,1.12,18.36,81.64,100.0,2.26,2.08,1.22,,83.6,28.04,85.55,26.1,4.37,13.02,30.75,0.41,NAS:ARMH
2010-12,407.0,93.6,107.0,26.3,86.0,0.19,0.07,35.4,451.0,3.08,177.0,-7.0,170.0,0.58,240.0,100.0,6.41,93.59,32.91,34.37,,26.31,0.75,27.06,21.86,21.14,0.42,8.91,1.21,10.53,10.58,195.39,33.3,16.16,11.88,14.96,134.49,35.62,17.47,13.09,112.6,32.6,15.52,11.32,106.45,33.17,17.21,7.43,83.24,95.72,1.81,41.71,1.97,25.73,9.74,0.16,2.04,37.68,1.28,50.19,10.86,100.0,0.4,,1.86,6.64,6.66,15.56,,1.93,17.49,82.51,100.0,2.42,2.28,1.21,,76.72,24.25,46.1,54.87,4.76,15.05,29.67,0.42,NAS:ARMH
2009-12,305.0,91.6,46.0,15.0,40.0,0.09,0.06,66.6,434.0,2.67,97.0,-10.0,87.0,0.32,131.0,100.0,8.35,91.65,39.91,36.79,,14.95,0.54,15.49,14.43,13.26,0.36,4.78,1.14,5.47,5.48,331.48,2.04,5.04,14.82,17.29,-23.9,0.45,5.32,11.23,-7.23,-3.61,4.79,9.6,-8.82,-1.02,2.78,6.52,-3.95,0.15,3.25,28.41,2.14,17.14,7.73,0.2,2.84,27.91,1.61,64.12,6.37,100.0,0.27,,,5.53,6.64,12.44,,0.09,12.53,87.47,100.0,2.24,2.0,1.14,,85.06,26.17,66.15,45.07,4.29,13.95,21.97,0.36,NAS:ARMH
2008-12,299.0,89.0,60.0,20.1,44.0,0.1,0.05,52.9,429.0,2.42,101.0,-14.0,87.0,0.3,87.0,100.0,11.0,89.0,39.65,29.3,,20.05,1.09,21.14,31.01,14.58,0.43,6.2,1.15,7.06,7.07,,15.23,8.83,18.51,21.58,39.79,7.83,28.3,22.86,18.2,1.42,27.38,21.76,25.45,5.53,21.14,23.81,60.2,58.0,4.69,28.94,1.98,9.29,9.07,0.23,4.25,22.84,1.67,72.26,3.22,100.0,0.82,,,4.2,7.55,12.57,,0.14,12.71,87.29,100.0,1.82,1.46,1.15,,88.65,23.94,50.99,61.61,4.12,15.25,22.78,0.43,NAS:ARMH
2007-12,259.0,89.2,43.0,16.5,37.0,0.08,0.04,44.8,454.0,2.19,63.0,-8.0,55.0,0.24,82.0,100.0,10.79,89.21,37.18,28.07,7.43,16.53,2.08,18.61,23.63,14.22,0.43,6.1,1.13,6.9,6.13,,-1.43,19.29,11.43,,-4.72,6.79,0.75,,-18.32,4.85,3.1,,-15.22,0.09,-2.64,,-4.96,-4.73,3.08,21.11,1.48,9.22,13.43,0.42,2.56,25.64,2.16,68.99,3.21,100.0,0.4,,,4.61,5.93,10.94,,0.36,11.3,88.7,100.0,2.34,2.07,1.13,,96.96,27.87,26.46,98.37,3.76,13.1,19.94,0.43,NAS:ARMH
2006-12,263.0,88.3,45.0,17.1,45.0,0.1,0.02,21.8,471.0,2.55,66.0,-9.0,57.0,0.17,145.0,100.0,11.73,88.27,35.27,28.68,7.22,17.1,4.57,21.67,16.54,17.16,0.39,6.61,1.14,7.39,6.47,,13.48,27.19,12.41,,-5.86,37.69,-0.54,,8.05,51.44,5.79,,10.48,34.86,-0.67,,40.27,39.84,3.25,21.84,1.27,19.69,11.54,0.3,1.94,33.46,2.14,62.09,2.31,100.0,0.28,,,5.06,5.89,11.23,,0.73,11.96,88.04,100.0,2.98,2.78,1.14,,86.63,20.21,23.89,82.95,4.21,18.06,19.68,0.39,NAS:ARMH
2005-12,232.0,89.1,48.0,20.6,42.0,0.09,0.02,24.3,481.0,2.33,47.0,-6.0,41.0,0.14,170.0,100.0,10.91,89.09,30.83,25.84,11.81,20.61,2.29,22.9,21.33,18.02,0.33,5.92,1.1,6.6,5.94,,51.75,15.38,18.12,,35.8,5.0,8.86,,30.59,9.7,7.28,,7.06,-2.26,-1.53,,1.53,0.15,2.58,17.72,0.98,22.47,7.75,0.21,1.75,32.19,1.79,63.95,2.08,100.0,0.31,,,3.49,4.54,8.34,,1.02,9.36,90.64,100.0,3.86,3.62,1.1,,65.97,17.19,45.62,37.54,5.53,21.23,17.25,0.33,NAS:ARMH
